owner_ammonia,platform,lat,lon,verticalDatum (m),nitrogen,dissolvedOxygen,qcFlag_ammonia,qcFlag_DO,water_temperature (C),qcFlag,time,hour,previous_ammonia
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.73,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.73,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.73,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.6,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.6,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.6,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.6,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.6,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.04,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.04,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.04,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.04,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.04,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,10.42,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,10.42,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,10.42,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,10.42,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,10.42,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.12,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.12,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.12,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.12,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,11.12,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,8.14,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,8.14,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,8.14,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,8.14,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,8.14,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.55,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.55,2.0,1.0,26.8,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.55,2.0,1.0,26.99,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.55,2.0,1.0,26.93,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.55,2.0,1.0,26.96,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
Mississippi Department of Environmental Quality,21MSWQ_WQX-MS11-0145,30.1751,-89.0362,0.0,0.0,7.62,2.0,1.0,26.79,1.0,2011-09-13 16:38:00+00:00,16.0,0.0
