time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),diffuse_radiation (W/m²)
2023-07-05T15:00,32.2,71,0.40,999.1,11.0,265.0
2023-07-05T16:00,30.4,77,2.50,998.7,10.7,132.0
2023-07-05T17:00,31.1,74,0.00,998.5,11.6,155.0
2023-07-05T18:00,30.5,78,0.50,998.5,9.0,85.0
2023-07-05T19:00,29.2,83,0.20,999.3,8.0,20.0
2023-07-05T20:00,28.5,87,0.10,1000.1,7.6,0.0
2023-07-05T21:00,28.1,89,0.00,1000.8,7.4,0.0
2023-07-05T22:00,27.9,90,0.00,1001.4,7.9,0.0
2023-07-05T23:00,27.6,91,0.10,1001.8,8.2,0.0
2023-07-06T00:00,27.5,92,0.80,1001.4,6.9,0.0
2023-07-06T01:00,27.3,94,0.00,1000.8,6.6,0.0
2023-07-06T02:00,27.3,94,0.10,1000.5,7.9,0.0
2023-07-06T03:00,27.1,94,0.30,1000.5,8.2,0.0
2023-07-06T04:00,27.0,94,0.70,1000.7,8.2,0.0
2023-07-06T05:00,26.8,94,0.40,1000.8,7.9,0.0
2023-07-06T06:00,27.0,95,0.20,1001.2,7.0,10.0
2023-07-06T07:00,27.3,94,1.10,1001.8,8.4,55.0
2023-07-06T08:00,28.1,92,0.60,1002.2,9.7,119.0
2023-07-06T09:00,28.2,90,0.80,1003.0,10.6,144.0
2023-07-06T10:00,29.0,88,0.20,1003.1,10.3,248.0
2023-07-06T11:00,30.4,83,0.10,1002.6,13.0,363.0
2023-07-06T12:00,31.4,76,2.60,1001.8,11.8,247.0
2023-07-06T13:00,30.5,81,2.30,1001.8,11.8,248.0
2023-07-06T14:00,31.2,76,0.00,1001.3,11.2,311.0
2023-07-06T15:00,29.9,81,2.30,1001.4,13.6,170.0
2023-07-06T16:00,29.5,85,1.10,1001.2,9.3,77.0
2023-07-06T17:00,29.1,85,1.10,1000.8,12.6,124.0
2023-07-06T18:00,29.0,87,0.40,1000.8,7.8,56.0
2023-07-06T19:00,28.2,91,0.80,1001.8,8.5,12.0
2023-07-06T20:00,27.9,91,0.20,1003.2,9.0,0.0
2023-07-06T21:00,27.6,92,0.00,1004.3,8.4,0.0
2023-07-06T22:00,27.5,93,0.00,1004.9,8.2,0.0
2023-07-06T23:00,27.4,93,0.00,1004.8,8.2,0.0
2023-07-07T00:00,27.5,94,0.00,1003.7,6.1,0.0
2023-07-07T01:00,27.3,94,0.50,1003.2,6.9,0.0
2023-07-07T02:00,27.2,95,0.90,1003.2,7.4,0.0
2023-07-07T03:00,27.0,94,0.90,1003.1,8.2,0.0
2023-07-07T04:00,26.9,94,0.80,1003.2,7.7,0.0
2023-07-07T05:00,26.7,95,0.90,1002.9,7.7,0.0
2023-07-07T06:00,27.0,96,0.50,1002.8,5.9,9.0
2023-07-07T07:00,27.2,95,1.00,1003.7,6.9,56.0
2023-07-07T08:00,27.7,94,1.60,1004.6,8.0,92.0
2023-07-07T09:00,28.6,92,0.20,1005.1,8.7,195.0
2023-07-07T10:00,29.7,87,0.20,1005.0,12.1,307.0
2023-07-07T11:00,29.8,86,1.00,1004.6,12.1,313.0
2023-07-07T12:00,30.6,84,0.30,1004.0,9.8,276.0
2023-07-07T13:00,31.0,82,0.30,1003.3,9.8,241.0
2023-07-07T14:00,31.3,77,0.90,1003.0,12.6,230.0
2023-07-07T15:00,30.0,83,2.00,1002.9,11.5,154.0
2023-07-07T16:00,30.2,82,0.80,1002.5,12.2,197.0
2023-07-07T17:00,29.4,84,1.10,1002.2,11.8,105.0
2023-07-07T18:00,30.0,82,0.50,1002.3,8.7,57.0
2023-07-07T19:00,28.8,87,0.70,1003.3,7.4,15.0
2023-07-07T20:00,28.2,90,0.00,1004.1,7.5,0.0
2023-07-07T21:00,27.9,92,0.00,1004.9,7.6,0.0
2023-07-07T22:00,27.6,93,0.00,1005.5,7.3,0.0
2023-07-07T23:00,27.4,94,0.00,1005.3,7.0,0.0
2023-07-08T00:00,27.5,94,0.10,1005.3,5.4,0.0
2023-07-08T01:00,27.2,95,0.20,1004.5,6.1,0.0
2023-07-08T02:00,27.1,95,0.40,1004.3,6.1,0.0
2023-07-08T03:00,26.9,95,0.10,1003.8,6.9,0.0
2023-07-08T04:00,26.8,95,0.10,1003.9,7.2,0.0
2023-07-08T05:00,26.6,95,0.30,1003.8,6.9,0.0
2023-07-08T06:00,26.8,95,0.00,1004.8,6.4,11.0
2023-07-08T07:00,27.2,94,0.20,1005.0,7.9,72.0
2023-07-08T08:00,28.0,91,0.40,1005.9,9.0,164.0
2023-07-08T09:00,28.8,88,0.70,1006.0,10.3,235.0
2023-07-08T10:00,29.4,83,0.50,1006.0,12.1,276.0
2023-07-08T11:00,30.2,80,0.40,1005.4,10.4,293.0
2023-07-08T12:00,32.0,74,0.10,1005.0,9.6,328.0
2023-07-08T13:00,31.7,73,0.70,1004.3,11.4,274.0
2023-07-08T14:00,32.0,71,0.00,1004.0,11.0,234.0
2023-07-08T15:00,31.1,74,0.90,1003.7,11.4,162.0
2023-07-08T16:00,30.8,74,0.40,1002.8,11.5,173.0
2023-07-08T17:00,30.5,75,0.10,1002.2,10.6,130.0
2023-07-08T18:00,30.2,77,0.00,1002.4,8.2,84.0
2023-07-08T19:00,29.4,81,0.00,1002.8,6.9,19.0
2023-07-08T20:00,28.7,85,0.00,1003.6,6.5,0.0
2023-07-08T21:00,28.2,88,0.00,1004.8,6.5,0.0
2023-07-08T22:00,27.9,90,0.00,1005.4,6.5,0.0
2023-07-08T23:00,27.6,92,0.00,1005.1,6.5,0.0
2023-07-09T00:00,27.5,93,0.00,1004.6,4.6,0.0
2023-07-09T01:00,27.4,93,0.10,1004.3,5.6,0.0
2023-07-09T02:00,27.1,93,0.20,1003.7,5.4,0.0
2023-07-09T03:00,27.0,94,0.20,1003.7,5.2,0.0
2023-07-09T04:00,26.8,94,0.30,1003.2,4.8,0.0
2023-07-09T05:00,26.8,95,0.00,1003.4,4.1,0.0
2023-07-09T06:00,27.1,95,0.00,1004.0,2.9,13.0
2023-07-09T07:00,27.6,93,0.30,1004.7,4.1,79.0
2023-07-09T08:00,28.2,91,0.80,1005.1,4.7,160.0
2023-07-09T09:00,28.8,88,0.60,1004.9,4.7,236.0
2023-07-09T10:00,30.0,84,0.50,1005.0,5.5,263.0
2023-07-09T11:00,31.4,77,0.10,1004.5,5.6,299.0
2023-07-09T12:00,33.4,66,0.10,1004.2,5.4,338.0
2023-07-09T13:00,33.5,65,0.10,1003.5,6.5,303.0
2023-07-09T14:00,33.4,65,0.00,1002.9,6.6,234.0
2023-07-09T15:00,33.8,63,0.00,1002.1,6.7,226.0
2023-07-09T16:00,32.5,70,1.10,1001.5,10.4,208.0
2023-07-09T17:00,31.9,73,0.60,1000.9,8.8,157.0
2023-07-09T18:00,31.7,77,0.00,1001.4,5.0,92.0
2023-07-09T19:00,30.6,80,0.60,1001.9,4.6,20.0
2023-07-09T20:00,30.0,83,0.00,1003.0,5.9,0.0
2023-07-09T21:00,29.4,84,0.00,1003.6,6.4,0.0
2023-07-09T22:00,28.9,87,0.00,1004.4,6.7,0.0
2023-07-09T23:00,28.5,90,0.00,1004.2,6.6,0.0
2023-07-10T00:00,28.5,92,0.00,1003.5,5.0,0.0
2023-07-10T01:00,28.2,94,0.00,1003.1,5.0,0.0
2023-07-10T02:00,28.0,95,0.00,1002.7,4.9,0.0
2023-07-10T03:00,27.8,96,0.00,1002.6,4.9,0.0
2023-07-10T04:00,27.6,95,0.20,1002.4,6.2,0.0
2023-07-10T05:00,27.5,94,0.50,1002.6,6.1,0.0
2023-07-10T06:00,27.9,94,0.10,1002.7,5.1,11.0
2023-07-10T07:00,28.2,92,0.50,1003.6,6.2,67.0
2023-07-10T08:00,28.8,90,0.70,1004.1,7.3,153.0
2023-07-10T09:00,29.4,87,0.70,1004.4,7.9,255.0
2023-07-10T10:00,29.8,85,0.70,1004.0,8.8,285.0
2023-07-10T11:00,30.6,81,0.20,1003.5,9.1,366.0
2023-07-10T12:00,32.9,69,0.10,1003.2,7.3,318.0
2023-07-10T13:00,33.2,68,0.10,1002.8,8.7,291.0
2023-07-10T14:00,31.8,74,1.80,1002.7,10.2,213.0
2023-07-10T15:00,32.2,71,0.40,1002.1,9.6,205.0
2023-07-10T16:00,32.2,69,0.00,1001.3,10.9,191.0
2023-07-10T17:00,31.4,73,0.00,1001.0,10.1,172.0
2023-07-10T18:00,30.1,82,0.00,1001.2,7.5,96.0
2023-07-10T19:00,29.3,85,0.00,1001.9,6.6,22.0
2023-07-10T20:00,28.7,89,0.00,1002.7,6.3,0.0
2023-07-10T21:00,28.2,91,0.00,1003.4,7.6,0.0
2023-07-10T22:00,28.0,91,0.00,1003.8,7.4,0.0
2023-07-10T23:00,27.8,92,0.00,1003.7,7.6,0.0
2023-07-11T00:00,27.8,93,0.00,1003.9,6.1,0.0
2023-07-11T01:00,27.6,94,0.50,1003.4,6.6,0.0
2023-07-11T02:00,27.4,94,0.40,1003.3,6.0,0.0
2023-07-11T03:00,27.2,95,0.40,1003.0,6.3,0.0
2023-07-11T04:00,27.1,95,0.70,1003.2,6.7,0.0
2023-07-11T05:00,26.9,95,0.90,1003.2,7.0,0.0
2023-07-11T06:00,27.4,95,0.30,1003.0,5.3,11.0
2023-07-11T07:00,27.9,94,0.30,1003.6,6.8,89.0
2023-07-11T08:00,28.6,92,1.10,1004.4,8.0,160.0
2023-07-11T09:00,29.8,88,0.40,1005.0,9.0,239.0
2023-07-11T10:00,30.3,83,0.60,1004.4,10.3,259.0
2023-07-11T11:00,31.0,81,0.50,1003.9,9.3,286.0
2023-07-11T12:00,32.3,71,0.60,1003.4,8.3,346.0
2023-07-11T13:00,32.6,70,0.10,1003.3,9.7,286.0
2023-07-11T14:00,31.9,72,0.50,1003.1,10.8,280.0
2023-07-11T15:00,32.3,69,0.00,1002.6,10.4,281.0
2023-07-11T16:00,31.7,69,0.00,1001.6,10.8,257.0
2023-07-11T17:00,31.0,71,0.00,1001.1,11.3,180.0
2023-07-11T18:00,30.4,76,0.00,1001.7,8.7,104.0
2023-07-11T19:00,29.3,82,0.00,1002.2,7.3,20.0
2023-07-11T20:00,28.7,87,0.00,1003.1,6.4,0.0
2023-07-11T21:00,28.3,89,0.00,1003.9,6.8,0.0
2023-07-11T22:00,28.1,90,0.00,1004.2,7.5,0.0
2023-07-11T23:00,27.8,91,0.00,1004.2,7.4,0.0
2023-07-12T00:00,27.8,92,0.00,1004.3,5.9,0.0
2023-07-12T01:00,27.7,92,0.00,1004.1,6.4,0.0
2023-07-12T02:00,27.5,93,0.00,1004.0,6.4,0.0
2023-07-12T03:00,27.4,93,0.00,1003.9,6.4,0.0
2023-07-12T04:00,27.3,93,0.00,1003.5,6.0,0.0
2023-07-12T05:00,27.1,94,0.00,1003.3,6.0,0.0
2023-07-12T06:00,27.4,95,0.00,1003.3,5.0,11.0
2023-07-12T07:00,27.9,92,0.00,1003.9,7.6,87.0
2023-07-12T08:00,28.5,90,0.20,1004.4,9.0,154.0
2023-07-12T09:00,29.3,85,0.20,1004.7,10.5,251.0
2023-07-12T10:00,30.0,80,0.10,1004.5,10.9,330.0
2023-07-12T11:00,30.6,78,0.10,1004.2,11.0,382.0
2023-07-12T12:00,32.4,67,0.00,1003.8,8.8,398.0
2023-07-12T13:00,33.1,64,0.00,1003.3,10.3,373.0
2023-07-12T14:00,33.5,63,0.00,1002.8,10.7,347.0
2023-07-12T15:00,32.1,71,0.70,1002.4,10.6,301.0
2023-07-12T16:00,31.4,73,0.80,1001.9,10.0,223.0
2023-07-12T17:00,30.7,75,1.00,1001.9,10.1,173.0
2023-07-12T18:00,30.1,83,0.00,1001.8,7.1,102.0
2023-07-12T19:00,28.8,89,0.80,1003.0,7.1,19.0
2023-07-12T20:00,28.3,92,0.60,1003.6,6.6,0.0
2023-07-12T21:00,28.0,93,0.00,1004.2,6.8,0.0
2023-07-12T22:00,27.8,93,0.00,1004.5,6.8,0.0
2023-07-12T23:00,27.6,93,0.00,1004.2,6.2,0.0
2023-07-13T00:00,27.5,94,0.00,1004.2,5.0,0.0
2023-07-13T01:00,27.3,95,0.00,1003.7,5.5,0.0
2023-07-13T02:00,27.3,95,0.00,1003.7,6.3,0.0
2023-07-13T03:00,27.2,95,0.00,1003.6,6.6,0.0
2023-07-13T04:00,27.0,95,0.00,1003.2,6.0,0.0
2023-07-13T05:00,26.9,95,0.00,1002.8,5.6,0.0
2023-07-13T06:00,27.2,95,0.00,1003.1,4.7,13.0
2023-07-13T07:00,27.7,94,0.80,1003.9,5.9,80.0
2023-07-13T08:00,28.2,91,0.60,1004.4,8.7,148.0
2023-07-13T09:00,28.7,88,0.20,1004.4,9.7,233.0
2023-07-13T10:00,29.6,85,0.20,1004.3,10.8,291.0
2023-07-13T11:00,30.8,79,0.10,1003.9,10.2,337.0
2023-07-13T12:00,32.0,73,0.10,1003.2,6.7,330.0
2023-07-13T13:00,32.3,72,0.10,1002.8,7.7,314.0
2023-07-13T14:00,31.1,77,2.30,1002.6,9.7,225.0
2023-07-13T15:00,30.3,82,2.30,1002.4,9.0,218.0
2023-07-13T16:00,30.2,83,0.90,1001.9,8.3,174.0
2023-07-13T17:00,29.4,84,1.90,1001.8,8.6,103.0
2023-07-13T18:00,28.9,86,0.10,1002.1,8.2,79.0
2023-07-13T19:00,28.3,89,0.00,1002.6,7.1,15.0
2023-07-13T20:00,27.9,91,0.00,1003.0,6.7,0.0
2023-07-13T21:00,27.7,91,0.00,1003.7,7.2,0.0
2023-07-13T22:00,27.4,92,0.00,1004.0,6.8,0.0
2023-07-13T23:00,27.2,93,0.00,1004.0,6.2,0.0
