,ph,temperature,datetime,do_linreg,dvd_dev_id,rounded_datetime,airtemp,humid,precipitation (mm),surface_pressure (hPa),windspeed_10m (km/h),light,Depth,temperature^2,airtemp^2,temp*airtemp,depth*temp,do_knn,do
303,8.79216589861751,31.48698698161479,2023-06-11 22:52:46.260617,9.233,2,2023-06-11 23:00:00,27.7,94,0.0,999.8,7.7,0.0,1.2192,991.4303491803794,767.29,872.1895393907297,38.38893452798475,11.674999999999999,8.902
304,8.751948051948048,31.48698698161479,2023-06-11 23:09:11.100256,9.245,2,2023-06-11 23:00:00,27.7,94,0.0,999.8,7.7,0.0,1.2192,991.4303491803794,767.29,872.1895393907297,38.38893452798475,11.674999999999999,8.902
305,8.711730205278592,31.48698698161479,2023-06-11 23:25:36.079976,9.257,2,2023-06-11 23:00:00,27.7,94,0.0,999.8,7.7,0.0,1.2192,991.4303491803794,767.29,872.1895393907297,38.38893452798475,11.674999999999999,8.902
306,8.711730205278592,31.39597288319152,2023-06-11 23:42:01.038183,9.249,2,2023-06-12 00:00:00,27.4,94,0.0,999.1,5.9,0.0,1.2192,985.7071132820971,750.7599999999999,860.2496569994476,38.277970139187104,9.370000000000001,9.405
307,8.711730205278592,31.39597288319152,2023-06-11 23:58:25.687185,8.874,2,2023-06-12 00:00:00,27.4,94,0.0,999.1,5.9,0.0,1.2192,985.7071132820971,750.7599999999999,860.2496569994476,38.277970139187104,9.370000000000001,9.405
308,8.67151235860913,31.39597288319152,2023-06-12 00:14:50.719861,9.261,2,2023-06-12 00:00:00,27.4,94,0.0,999.1,5.9,0.0,1.2192,985.7071132820971,750.7599999999999,860.2496569994476,38.277970139187104,9.370000000000001,9.405
309,8.751948051948048,31.39597288319152,2023-06-12 00:31:15.654877,8.862,2,2023-06-12 01:00:00,27.2,95,0.0,998.6,5.6,0.0,1.2192,985.7071132820971,739.8399999999999,853.9704624228093,38.277970139187104,9.370000000000001,9.405
310,8.711730205278592,31.39597288319152,2023-06-12 00:47:41.963198,8.874,2,2023-06-12 01:00:00,27.2,95,0.0,998.6,5.6,0.0,1.2192,985.7071132820971,739.8399999999999,853.9704624228093,38.277970139187104,9.370000000000001,9.405
311,8.67151235860913,31.39597288319152,2023-06-12 01:04:06.141272,8.511,2,2023-06-12 01:00:00,27.2,95,0.0,998.6,5.6,0.0,1.2192,985.7071132820971,739.8399999999999,853.9704624228093,38.277970139187104,9.370000000000001,9.405
312,8.67151235860913,31.39597288319152,2023-06-12 01:20:31.336827,8.511,2,2023-06-12 01:00:00,27.2,95,0.0,998.6,5.6,0.0,1.2192,985.7071132820971,739.8399999999999,853.9704624228093,38.277970139187104,9.370000000000001,9.405
313,8.631294511939673,31.48698698161479,2023-06-12 01:36:57.054719,8.53,2,2023-06-12 02:00:00,27.0,96,0.0,998.4,5.6,0.0,1.2192,991.4303491803794,729.0,850.1486485035994,38.38893452798475,9.370000000000001,9.405
314,8.67151235860913,31.48698698161479,2023-06-12 01:53:23.136341,8.519,2,2023-06-12 02:00:00,27.0,96,0.0,998.4,5.6,0.0,1.2192,991.4303491803794,729.0,850.1486485035994,38.38893452798475,9.370000000000001,9.405
315,8.67151235860913,31.48698698161479,2023-06-12 02:09:49.795063,8.519,2,2023-06-12 02:00:00,27.0,96,0.0,998.4,5.6,0.0,1.2192,991.4303491803794,729.0,850.1486485035994,38.38893452798475,9.370000000000001,9.405
