LocationID; Date; Time; ;Parameter; Method;; Unit; Value; Comment
BGD00001;1984-03-22;09:30;1.0;TEMP;TEMP-Hg;;25.0;°C;Fair
BGD00001;1984-03-22;09:30;1.0;pH;pH-POT-25;;7.7;---;Fair
BGD00001;1984-07-31;12:00;1.0;BOD;BOD-T-COL-AZD;;1.7;mg/l;Fair
BGD00001;1984-11-24;11:00;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00001;1988-10-13;11:10;1.0;pH;pH-POT-25;;7.9;---;Fair
BGD00001;1994-08-15;10:45;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1994-08-15;10:45;1.0;TEMP;TEMP-Hg;;29.0;°C;Fair
BGD00001;1995-01-14;11:15;1.0;BOD;BOD-T-COL-AZD;;1.2;mg/l;Fair
BGD00001;1995-01-14;11:15;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1995-03-20;10:45;1.0;O2-Dis;O2-ISE;;6.5;mg/l;Fair
BGD00001;1995-03-20;10:45;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00001;1995-04-22;08:45;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1995-06-18;09:45;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00001;1980-01-04;10:15;1.0;TEMP;TEMP-Hg;;29.4;°C;Fair
BGD00001;1980-02-14;09:40;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1980-03-14;10:00;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1980-06-18;09:15;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1980-10-10;10:20;1.0;TEMP;TEMP-Hg;;29.4;°C;Fair
BGD00001;1980-12-15;10:20;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1980-12-15;10:20;1.0;BOD;BOD-T-COL-AZD;;2.2;mg/l;Fair
BGD00001;1981-03-13;10:20;1.0;TEMP;TEMP-Hg;;28.0;°C;Fair
BGD00001;1981-03-13;10:20;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00001;1981-03-13;10:20;1.0;BOD;BOD-T-COL-AZD;;1.8;mg/l;Fair
BGD00001;1981-04-18;10:45;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1981-05-07;09:30;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1981-06-12;12:15;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00001;1981-06-12;12:15;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1982-01-19;11:10;1.0;TEMP;TEMP-Hg;;24.0;°C;Fair
BGD00001;1982-02-12;10:30;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1982-05-14;08:40;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1982-07-15;09:40;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1982-07-15;09:40;1.0;BOD;BOD-T-COL-AZD;;1.8;mg/l;Fair
BGD00001;1982-07-15;09:40;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1982-09-14;09:00;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1982-11-18;08:30;1.0;TEMP;TEMP-Hg;;26.0;°C;Fair
BGD00001;1983-01-19;09:00;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1983-01-19;09:00;1.0;TEMP;TEMP-Hg;;23.0;°C;Fair
BGD00001;1983-07-16;09:00;1.0;BOD;BOD-T-COL-AZD;;1.8;mg/l;Fair
BGD00001;1983-11-23;11:00;1.0;O2-Dis;O2-ISE;;7.0;mg/l;Fair
BGD00001;1984-01-27;08:00;1.0;BOD;BOD-T-COL-AZD;;3.1;mg/l;Fair
BGD00001;1984-05-24;08:30;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1984-07-31;12:00;1.0;O2-Dis;O2-ISE;;7.1;mg/l;Fair
BGD00001;1984-11-24;11:00;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1985-01-30;09:45;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00001;1985-01-30;09:45;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1985-03-31;12:15;1.0;O2-Dis;O2-ISE;;7.3;mg/l;Fair
BGD00001;1988-10-13;11:10;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00001;1995-03-20;10:45;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1995-03-20;10:45;1.0;BOD;BOD-T-COL-AZD;;1.2;mg/l;Fair
BGD00001;1995-06-18;09:45;1.0;TEMP;TEMP-Hg;;32.0;°C;Fair
BGD00001;1995-07-10;09:50;1.0;O2-Dis;O2-ISE;;7.1;mg/l;Fair
BGD00001;1995-07-10;09:50;1.0;TEMP;TEMP-Hg;;33.0;°C;Fair
BGD00001;1995-09-15;09:45;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00001;1995-09-15;09:45;1.0;BOD;BOD-T-COL-AZD;;1.3;mg/l;Fair
BGD00001;1979-03-22;09:00;0.0;BOD;BOD-T-COL-AZD;;3.2;mg/l;Fair
BGD00001;1980-01-04;10:15;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00001;1980-03-14;10:00;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1980-03-14;10:00;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00001;1980-06-18;09:15;1.0;TEMP;TEMP-Hg;;28.9;°C;Fair
BGD00001;1981-02-14;09:40;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1981-03-13;10:20;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1981-05-07;09:30;1.0;TEMP;TEMP-Hg;;28.0;°C;Fair
BGD00001;1982-01-19;11:10;1.0;O2-Dis;O2-ISE;;3.8;mg/l;Fair
BGD00001;1982-01-19;11:10;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1982-03-17;10:00;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1983-03-20;11:00;1.0;TEMP;TEMP-Hg;;29.0;°C;Fair
BGD00001;1983-03-20;11:00;1.0;O2-Dis;O2-ISE;;7.6;mg/l;Fair
BGD00001;1983-03-20;11:00;1.0;pH;pH-POT-25;;7.5;---;Fair
BGD00001;1983-05-17;06:00;1.0;O2-Dis;O2-ISE;;7.3;mg/l;Fair
BGD00001;1983-07-16;09:00;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1984-03-22;09:30;1.0;O2-Dis;O2-ISE;;7.4;mg/l;Fair
BGD00001;1984-05-24;08:30;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00001;1984-07-31;12:00;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00001;1984-09-30;12:00;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1984-11-24;11:00;1.0;O2-Dis;O2-ISE;;7.4;mg/l;Fair
BGD00001;1984-11-24;11:00;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1985-01-30;09:45;1.0;TEMP;TEMP-Hg;;26.0;°C;Fair
BGD00001;1985-03-31;12:15;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1988-10-13;11:10;1.0;O2-Dis;O2-ISE;;6.5;mg/l;Fair
BGD00001;1994-08-15;10:45;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00001;1994-10-15;11:25;1.0;BOD;BOD-T-COL-AZD;;2.2;mg/l;Fair
BGD00001;1994-10-15;11:25;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00001;1995-01-14;11:15;1.0;TEMP;TEMP-Hg;;20.0;°C;Fair
BGD00001;1995-04-22;08:45;1.0;O2-Dis;O2-ISE;;7.6;mg/l;Fair
BGD00001;1995-06-18;09:45;1.0;O2-Dis;O2-ISE;;7.2;mg/l;Fair
BGD00001;1979-11-14;10:40;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1980-01-04;10:15;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00001;1980-05-08;12:50;1.0;O2-Dis;O2-ISE;;5.4;mg/l;Fair
BGD00001;1980-05-08;12:50;1.0;pH;pH-POT-25;;7.3;---;Fair
BGD00001;1980-06-18;09:15;1.0;BOD;BOD-T-COL-AZD;;2.0;mg/l;Fair
BGD00001;1980-08-18;09:20;1.0;pH;pH-POT-25;;7.4;---;Fair
BGD00001;1980-10-10;10:20;1.0;BOD;BOD-T-COL-AZD;;2.0;mg/l;Fair
BGD00001;1980-12-15;10:20;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1981-04-18;10:45;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00001;1981-04-18;10:45;1.0;O2-Dis;O2-ISE;;5.6;mg/l;Fair
BGD00001;1981-05-07;09:30;1.0;BOD;BOD-T-COL-AZD;;2.2;mg/l;Fair
BGD00001;1981-06-12;12:15;1.0;BOD;BOD-T-COL-AZD;;1.5;mg/l;Fair
BGD00001;1982-02-12;10:30;1.0;TEMP;TEMP-Hg;;26.0;°C;Fair
BGD00001;1982-02-12;10:30;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00001;1982-03-17;10:00;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00001;1982-04-17;09:20;1.0;BOD;BOD-T-COL-AZD;;0.5;mg/l;Fair
BGD00001;1982-05-14;08:40;1.0;TEMP;TEMP-Hg;;29.0;°C;Fair
BGD00001;1982-05-14;08:40;1.0;BOD;BOD-T-COL-AZD;;1.3;mg/l;Fair
BGD00001;1982-11-18;08:30;1.0;O2-Dis;O2-ISE;;4.6;mg/l;Fair
BGD00001;1983-01-19;09:00;1.0;BOD;BOD-T-COL-AZD;;2.1;mg/l;Fair
BGD00001;1983-05-17;06:00;1.0;TEMP;TEMP-Hg;;31.0;°C;Fair
BGD00001;1983-07-16;09:00;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00001;1983-11-23;11:00;1.0;TEMP;TEMP-Hg;;24.0;°C;Fair
BGD00001;1983-11-23;11:00;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00001;1984-01-27;08:00;1.0;TEMP;TEMP-Hg;;21.0;°C;Fair
BGD00001;1984-03-22;09:30;1.0;BOD;BOD-T-COL-AZD;;3.6;mg/l;Fair
BGD00001;1984-05-24;08:30;1.0;BOD;BOD-T-COL-AZD;;2.2;mg/l;Fair
BGD00001;1984-05-24;08:30;1.0;O2-Dis;O2-ISE;;6.5;mg/l;Fair
BGD00001;1984-07-31;12:00;1.0;pH;pH-POT-25;;6.7;---;Fair
BGD00001;1985-01-30;09:45;1.0;O2-Dis;O2-ISE;;7.4;mg/l;Fair
BGD00001;1985-03-31;12:15;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00001;1988-12-22;00:15;1.0;TEMP;TEMP-Hg;;24.0;°C;Fair
BGD00001;1994-10-15;11:25;1.0;O2-Dis;O2-ISE;;6.2;mg/l;Fair
BGD00001;1995-01-14;11:15;1.0;O2-Dis;O2-ISE;;6.8;mg/l;Fair
BGD00001;1995-07-10;09:50;1.0;pH;pH-POT-25;;7.7;---;Fair
BGD00001;1995-09-15;09:45;1.0;O2-Dis;O2-ISE;;6.9;mg/l;Fair
BGD00001;1995-09-15;09:45;1.0;TEMP;TEMP-Hg;;32.0;°C;Fair
BGD00002;1979-03-22;09:15;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00002;1979-11-23;08:00;1.0;pH;pH-POT-25;;7.7;---;Fair
BGD00002;1979-11-23;08:00;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00002;1980-03-15;13:00;1.0;BOD;BOD-T-COL-AZD;;2.4;mg/l;Fair
BGD00002;1980-04-28;08:30;1.0;TEMP;TEMP-Hg;;32.2;°C;Fair
BGD00002;1980-04-28;08:30;1.0;O2-Dis;O2-ISE;;12.3;mg/l;Fair
BGD00002;1980-07-30;09:00;1.0;pH;pH-POT-25;;7.0;---;Fair
BGD00002;1980-07-30;09:00;1.0;TEMP;TEMP-Hg;;29.4;°C;Fair
BGD00002;1980-12-30;09:00;1.0;TEMP;TEMP-Hg;;24.0;°C;Fair
BGD00002;1981-01-21;11:15;1.0;BOD;BOD-T-COL-AZD;;5.1;mg/l;Fair
BGD00002;1981-02-14;13:30;1.0;BOD;BOD-T-COL-AZD;;4.0;mg/l;Fair
BGD00002;1982-04-15;08:30;1.0;O2-Dis;O2-ISE;;6.9;mg/l;Fair
BGD00002;1982-05-07;14:20;1.0;BOD;BOD-T-COL-AZD;;0.0;mg/l;Poor
BGD00002;1982-06-03;11:30;1.0;O2-Dis;O2-ISE;;6.3;mg/l;Fair
BGD00002;1982-09-20;11:35;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00002;1982-09-20;11:35;1.0;O2-Dis;O2-ISE;;5.2;mg/l;Fair
BGD00002;1982-09-20;11:35;1.0;BOD;BOD-T-COL-AZD;;4.7;mg/l;Fair
BGD00002;1983-10-25;11:15;1.0;O2-Dis;O2-ISE;;2.1;mg/l;Fair
BGD00002;1983-11-14;13:00;1.0;BOD;BOD-T-COL-AZD;;0.7;mg/l;Fair
BGD00002;1984-03-04;11:30;1.0;pH;pH-POT-25;;7.5;---;Fair
BGD00002;1984-09-04;14:00;1.0;pH;pH-POT-25;;7.5;---;Fair
BGD00002;1984-09-04;14:00;1.0;BOD;BOD-T-COL-AZD;;3.4;mg/l;Fair
BGD00002;1984-10-25;12:30;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00002;1988-03-24;11:00;1.0;O2-Dis;O2-ISE;;7.5;mg/l;Fair
BGD00002;1988-04-27;09:00;1.0;TEMP;TEMP-Hg;;28.5;°C;Fair
BGD00002;1988-05-29;09:30;1.0;pH;pH-POT-25;;7.9;---;Fair
BGD00002;1988-08-13;23:10;1.0;O2-Dis;O2-ISE;;6.0;mg/l;Fair
BGD00002;1988-08-13;23:10;1.0;BOD;BOD-T-COL-AZD;;2.3;mg/l;Fair
BGD00002;1988-11-24;11:00;1.0;TEMP;TEMP-Hg;;25.0;°C;Fair
