LocationID; Date; Time; ;Parameter; Method;; Unit; Value; Comment
BGD00002;1988-12-19;11:00;1.0;BOD;BOD-T-COL-AZD;;1.1;mg/l;Fair
BGD00002;1994-01-23;11:00;1.0;O2-Dis;O2-ISE;;7.0;mg/l;Fair
BGD00002;1994-02-15;11:15;1.0;BOD;BOD-T-COL-AZD;;1.7;mg/l;Fair
BGD00002;1994-04-15;10:15;1.0;O2-Dis;O2-ISE;;7.0;mg/l;Fair
BGD00002;1994-05-11;10:25;1.0;BOD;BOD-T-COL-AZD;;1.2;mg/l;Fair
BGD00002;1994-07-12;10:55;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00002;1994-08-17;09:45;1.0;TEMP;TEMP-Hg;;29.5;°C;Fair
BGD00002;1994-09-19;10:15;1.0;O2-Dis;O2-ISE;;7.3;mg/l;Fair
BGD00002;1994-09-19;10:15;1.0;TEMP;TEMP-Hg;;29.0;°C;Fair
BGD00002;1994-10-18;11:00;1.0;O2-Dis;O2-ISE;;7.6;mg/l;Fair
BGD00002;1994-10-18;11:00;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00002;1994-11-13;11:45;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00002;1994-11-13;11:45;1.0;TEMP;TEMP-Hg;;28.0;°C;Fair
BGD00002;1995-02-05;10:45;1.0;O2-Dis;O2-ISE;;9.5;mg/l;Fair
BGD00002;1995-03-11;11:15;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
BGD00002;1995-06-08;10:40;1.0;pH;pH-POT-25;;7.2;---;Fair
BGD00002;1995-07-12;10:40;1.0;BOD;BOD-T-COL-AZD;;1.4;mg/l;Fair
BGD00002;1995-08-08;10:15;1.0;BOD;BOD-T-COL-AZD;;1.3;mg/l;Fair
BGD00002;1995-09-05;10:15;1.0;BOD;BOD-T-COL-AZD;;1.2;mg/l;Fair
BGD00002;1995-11-19;11:00;1.0;BOD;BOD-T-COL-AZD;;1.2;mg/l;Fair
BGD00002;1995-11-19;11:00;1.0;TEMP;TEMP-Hg;;27.0;°C;Fair
BGD00002;1979-03-22;09:15;1.0;BOD;BOD-T-COL-AZD;;2.8;mg/l;Fair
BGD00002;1979-03-22;09:15;1.0;TEMP;TEMP-Hg;;28.3;°C;Fair
BGD00002;1980-03-15;13:00;1.0;TEMP;TEMP-Hg;;26.7;°C;Fair
BGD00002;1980-04-28;08:30;1.0;BOD;BOD-T-COL-AZD;;4.0;mg/l;Fair
BGD00002;1980-04-28;08:30;1.0;pH;pH-POT-25;;7.7;---;Fair
BGD00002;1980-07-30;09:00;1.0;BOD;BOD-T-COL-AZD;;2.1;mg/l;Fair
BGD00002;1980-12-30;09:00;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00002;1981-02-14;13:30;1.0;TEMP;TEMP-Hg;;25.0;°C;Fair
BGD00002;1982-05-07;14:20;1.0;pH;pH-POT-25;;7.45;---;Fair
BGD00002;1982-06-03;11:30;1.0;BOD;BOD-T-COL-AZD;;5.8;mg/l;Fair
BGD00002;1982-06-03;11:30;1.0;pH;pH-POT-25;;7.0;---;Fair
BGD00002;1982-09-20;11:35;1.0;pH;pH-POT-25;;7.1;---;Fair
BGD00002;1982-10-19;12:20;1.0;O2-Dis;O2-ISE;;2.3;mg/l;Fair
BGD00002;1982-11-17;07:00;1.0;pH;pH-POT-25;;6.9;---;Fair
BGD00002;1982-12-27;11:15;1.0;pH;pH-POT-25;;7.6;---;Fair
BGD00002;1983-01-31;10:00;1.0;pH;pH-POT-25;;7.5;---;Fair
BGD00002;1983-02-27;13:00;1.0;pH;pH-POT-25;;6.9;---;Fair
BGD00002;1983-02-27;13:00;1.0;BOD;BOD-T-COL-AZD;;0.8;mg/l;Fair
BGD00002;1983-09-25;12:00;1.0;TEMP;TEMP-Hg;;28.0;°C;Fair
BGD00002;1984-09-04;14:00;1.0;O2-Dis;O2-ISE;;6.6;mg/l;Fair
BGD00002;1984-10-25;12:30;1.0;BOD;BOD-T-COL-AZD;;2.3;mg/l;Fair
BGD00002;1984-10-25;12:30;1.0;TEMP;TEMP-Hg;;30.0;°C;Fair
BGD00002;1986-04-28;10:45;1.0;TEMP;TEMP-Hg;;31.0;°C;Fair
BGD00002;1986-04-28;10:45;1.0;pH;pH-POT-25;;7.8;---;Fair
BGD00002;1988-03-24;11:00;1.0;TEMP;TEMP-Hg;;24.5;°C;Fair
BGD00002;1988-04-27;09:00;1.0;BOD;BOD-T-COL-AZD;;1.0;mg/l;Fair
