time,temperature_2m (°C),precipitation_probability (%),diffuse_radiation (W/m²)
2023-06-26T06:00,26.5,58,15.0
2023-06-26T07:00,26.8,67,55.0
2023-06-26T08:00,28.1,75,145.0
2023-06-26T09:00,27.8,84,146.0
2023-06-26T10:00,29.0,88,204.0
2023-06-26T11:00,29.5,93,245.0
2023-06-26T12:00,30.6,97,309.0
2023-06-26T13:00,29.2,98,186.0
2023-06-26T14:00,29.5,99,201.0
2023-06-26T15:00,29.4,100,272.0
2023-06-26T16:00,29.0,88,193.0
2023-06-26T17:00,28.5,77,157.0
2023-06-26T18:00,29.0,65,89.0
2023-06-26T19:00,28.2,63,17.0
2023-06-26T20:00,27.5,60,0.0
2023-06-26T21:00,27.1,58,0.0
2023-06-26T22:00,26.8,70,0.0
2023-06-26T23:00,26.6,82,0.0
2023-06-27T00:00,26.3,94,0.0
2023-06-27T01:00,26.2,96,0.0
2023-06-27T02:00,26.0,98,0.0
2023-06-27T03:00,25.9,100,0.0
2023-06-27T04:00,25.8,97,0.0
2023-06-27T05:00,25.9,93,0.0
2023-06-27T06:00,25.9,90,2.0
2023-06-27T07:00,26.0,93,25.0
2023-06-27T08:00,26.1,97,68.0
2023-06-27T09:00,26.0,100,59.0
2023-06-27T10:00,26.7,100,150.0
2023-06-27T11:00,27.0,100,128.0
2023-06-27T12:00,27.7,100,286.0
2023-06-27T13:00,26.6,96,109.0
2023-06-27T14:00,27.4,91,196.0
2023-06-27T15:00,28.0,87,232.0
2023-06-27T16:00,27.6,91,111.0
2023-06-27T17:00,27.3,96,117.0
2023-06-27T18:00,27.4,100,31.0
2023-06-27T19:00,26.8,97,10.0
2023-06-27T20:00,26.7,93,0.0
2023-06-27T21:00,26.5,90,0.0
2023-06-27T22:00,26.4,64,0.0
2023-06-27T23:00,26.3,39,0.0
2023-06-28T00:00,26.3,13,0.0
2023-06-28T01:00,26.2,37,0.0
2023-06-28T02:00,26.2,60,0.0
2023-06-28T03:00,26.1,84,0.0
2023-06-28T04:00,26.0,87,0.0
2023-06-28T05:00,26.0,91,0.0
2023-06-28T06:00,26.3,94,6.0
2023-06-28T07:00,26.4,96,35.0
2023-06-28T08:00,26.8,98,76.0
2023-06-28T09:00,27.8,100,207.0
2023-06-28T10:00,28.9,98,252.0
2023-06-28T11:00,28.7,96,170.0
2023-06-28T12:00,29.3,94,282.0
2023-06-28T13:00,28.9,71,212.0
2023-06-28T14:00,27.5,49,113.0
2023-06-28T15:00,28.4,26,239.0
2023-06-28T16:00,28.1,27,95.0
2023-06-28T17:00,27.7,28,108.0
2023-06-28T18:00,27.4,29,68.0
2023-06-28T19:00,27.0,19,7.0
2023-06-28T20:00,26.6,10,0.0
2023-06-28T21:00,26.4,0,0.0
2023-06-28T22:00,26.2,0,0.0
2023-06-28T23:00,26.1,0,0.0
2023-06-29T00:00,26.0,0,0.0
2023-06-29T01:00,26.0,27,0.0
2023-06-29T02:00,25.9,54,0.0
2023-06-29T03:00,25.8,81,0.0
2023-06-29T04:00,25.7,82,0.0
2023-06-29T05:00,25.7,83,0.0
2023-06-29T06:00,26.3,84,6.0
2023-06-29T07:00,26.5,89,51.0
2023-06-29T08:00,26.9,95,115.0
2023-06-29T09:00,27.6,100,180.0
2023-06-29T10:00,27.9,100,200.0
2023-06-29T11:00,28.3,100,204.0
2023-06-29T12:00,28.1,100,241.0
2023-06-29T13:00,28.7,99,282.0
2023-06-29T14:00,27.8,98,153.0
2023-06-29T15:00,27.8,97,186.0
2023-06-29T16:00,28.3,94,206.0
2023-06-29T17:00,27.8,90,86.0
2023-06-29T18:00,27.5,87,64.0
2023-06-29T19:00,27.1,58,17.0
2023-06-29T20:00,26.8,29,0.0
2023-06-29T21:00,26.6,0,0.0
2023-06-29T22:00,26.5,3,0.0
2023-06-29T23:00,26.4,7,0.0
2023-06-30T00:00,26.2,10,0.0
2023-06-30T01:00,26.1,35,0.0
2023-06-30T02:00,26.0,59,0.0
2023-06-30T03:00,25.9,84,0.0
2023-06-30T04:00,25.8,80,0.0
2023-06-30T05:00,25.8,75,0.0
2023-06-30T06:00,26.3,71,9.0
2023-06-30T07:00,26.5,81,63.0
2023-06-30T08:00,27.0,90,121.0
2023-06-30T09:00,27.5,100,153.0
2023-06-30T10:00,28.0,99,191.0
2023-06-30T11:00,28.4,98,221.0
2023-06-30T12:00,31.0,97,337.0
2023-06-30T13:00,31.2,98,348.0
2023-06-30T14:00,31.4,99,295.0
2023-06-30T15:00,31.2,100,327.0
2023-06-30T16:00,29.9,100,202.0
2023-06-30T17:00,29.6,100,137.0
2023-06-30T18:00,28.4,100,83.0
2023-06-30T19:00,27.9,100,8.0
2023-06-30T20:00,27.7,100,0.0
2023-06-30T21:00,27.5,100,0.0
2023-06-30T22:00,27.4,77,0.0
2023-06-30T23:00,27.1,55,0.0
2023-07-01T00:00,26.4,32,0.0
2023-07-01T01:00,26.3,45,0.0
2023-07-01T02:00,26.1,58,0.0
2023-07-01T03:00,26.0,71,0.0
2023-07-01T04:00,25.9,59,0.0
2023-07-01T05:00,25.9,47,0.0
2023-07-01T06:00,26.2,35,10.0
2023-07-01T07:00,26.6,57,61.0
2023-07-01T08:00,27.3,78,128.0
2023-07-01T09:00,28.3,100,203.0
2023-07-01T10:00,29.0,100,269.0
2023-07-01T11:00,30.0,100,377.0
2023-07-01T12:00,31.4,100,333.0
2023-07-01T13:00,32.0,97,304.0
2023-07-01T14:00,32.5,93,320.0
2023-07-01T15:00,32.6,90,305.0
2023-07-01T16:00,31.1,92,241.0
2023-07-01T17:00,29.6,95,86.0
2023-07-01T18:00,28.5,97,49.0
2023-07-01T19:00,28.0,84,9.0
2023-07-01T20:00,27.7,71,0.0
2023-07-01T21:00,27.5,58,0.0
2023-07-01T22:00,27.2,47,0.0
2023-07-01T23:00,27.1,37,0.0
2023-07-02T00:00,27.0,26,0.0
2023-07-02T01:00,27.0,36,0.0
2023-07-02T02:00,26.8,45,0.0
2023-07-02T03:00,26.6,55,0.0
2023-07-02T04:00,26.5,48,0.0
2023-07-02T05:00,26.4,42,0.0
2023-07-02T06:00,27.0,35,14.0
2023-07-02T07:00,27.6,50,76.0
2023-07-02T08:00,28.5,66,141.0
2023-07-02T09:00,29.6,81,214.0
2023-07-02T10:00,30.8,81,295.0
2023-07-02T11:00,31.6,81,336.0
2023-07-02T12:00,32.3,81,347.0
2023-07-02T13:00,32.9,64,380.0
2023-07-02T14:00,32.8,46,294.0
2023-07-02T15:00,32.6,29,232.0
2023-07-02T16:00,31.8,43,210.0
2023-07-02T17:00,30.9,57,157.0
2023-07-02T18:00,30.2,71,94.0
2023-07-02T19:00,29.1,65,16.0
2023-07-02T20:00,28.4,58,0.0
2023-07-02T21:00,28.2,52,0.0
2023-07-02T22:00,28.1,63,0.0
2023-07-02T23:00,28.0,73,0.0
2023-07-03T00:00,27.9,84,0.0
2023-07-03T01:00,27.7,84,0.0
2023-07-03T02:00,27.6,84,0.0
2023-07-03T03:00,27.4,84,0.0
2023-07-03T04:00,27.3,56,0.0
2023-07-03T05:00,27.2,28,0.0
2023-07-03T06:00,27.7,0,16.0
2023-07-03T07:00,28.2,19,85.0
2023-07-03T08:00,29.0,39,172.0
2023-07-03T09:00,29.9,58,247.0
2023-07-03T10:00,30.7,60,297.0
2023-07-03T11:00,31.5,63,328.0
2023-07-03T12:00,32.3,65,328.0
2023-07-03T13:00,33.1,73,358.0
2023-07-03T14:00,33.4,82,321.0
2023-07-03T15:00,32.6,90,240.0
2023-07-03T16:00,32.3,85,216.0
2023-07-03T17:00,31.8,79,172.0
2023-07-03T18:00,31.2,74,90.0
2023-07-03T19:00,29.9,82,18.0
2023-07-03T20:00,29.3,89,0.0
2023-07-03T21:00,29.1,97,0.0
2023-07-03T22:00,28.8,95,0.0
2023-07-03T23:00,28.4,92,0.0
2023-07-04T00:00,28.1,90,0.0
2023-07-04T01:00,27.8,69,0.0
2023-07-04T02:00,27.5,47,0.0
2023-07-04T03:00,27.3,26,0.0
2023-07-04T04:00,27.1,31,0.0
2023-07-04T05:00,27.0,37,0.0
2023-07-04T06:00,27.3,42,15.0
2023-07-04T07:00,27.8,38,67.0
2023-07-04T08:00,28.6,33,139.0
2023-07-04T09:00,29.7,29,216.0
2023-07-04T10:00,30.7,24,253.0
2023-07-04T11:00,31.7,18,288.0
2023-07-04T12:00,33.4,13,309.0
2023-07-04T13:00,34.1,10,279.0
2023-07-04T14:00,34.3,6,269.0
2023-07-04T15:00,34.3,3,240.0
2023-07-04T16:00,33.1,5,175.0
2023-07-04T17:00,32.3,8,131.0
