id,dvd_status,dvd_haulage,dvd_lat,dvd_ph,dvd_tds,dvd_temp,dvd_ammonia,dvd_long,dvd_mileage,dvd_speed,dvd_meter_reading,dvd_bearing,dvd_bettery,dvd_created_at,dvd_updated_at,dvd_do,dvd_alkalinity,dvd_hardness,company_id,dvd_dev_id,dvd_dvg_id
345,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 10:29:47.000000","2023-06-20 04:30:24.476952",8.619,99.99,153.94,2,2,1
346,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:54.000000","2023-06-20 09:27:54.771954",8.619,99.99,153.94,1,2,1
347,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:56.000000","2023-06-20 09:27:56.853398",8.619,99.99,153.94,1,2,1
348,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:56.000000","2023-06-20 09:27:56.908396",8.619,99.99,153.94,1,2,1
349,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:56.000000","2023-06-20 09:27:56.969330",8.619,99.99,153.94,1,2,1
350,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.035082",8.619,99.99,153.94,1,2,1
351,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.096779",8.619,99.99,153.94,1,2,1
352,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.158291",8.619,99.99,153.94,1,2,1
353,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.210694",8.619,99.99,153.94,1,2,1
354,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.259689",8.619,99.99,153.94,1,2,1
355,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.306879",8.619,99.99,153.94,1,2,1
356,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.350737",8.619,99.99,153.94,1,2,1
357,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.397193",8.619,99.99,153.94,1,2,1
358,1,NULL,NULL,8.407373271889401,153.9435584429444,31.764456138697767,0.19015,NULL,NULL,NULL,NULL,NULL,NULL,"2023-06-20 15:27:57.000000","2023-06-20 09:27:57.443020",8.619,99.99,153.94,1,2,1
